,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
190,two_moons,1580455501,NRE-B,10,10,10,,False,128,3,0.45027918,5.329007975260416,0.5821,0.00041878223,0.09020275,,0.56315,2.4080276e-05,0.087809004,,0.62275,0.0005694628,0.090233766,,0.5832,0.0033729672,0.088954076,,0.62585,0.00075757504,0.09387833,,0.58615,0.00011050701,0.09176111,,0.66245,0.0007494688,0.090150595,,0.643,0.00072693825,0.09165324,,0.5935,0.000300169,0.09123427,,0.6376,0.0014078617,0.090854466,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/1,1,
191,gaussian_mixture,755314691,NRE-B,25,25,25,,False,128,3,18.823261,7.458733622233073,0.73865,0.036710262,1.0484556,,0.6866,0.010749817,0.92478067,,0.6814,0.014392614,1.1781073,,0.6871,0.008054256,0.8618622,,0.7014,0.016168833,0.9060589,,0.6707,0.0039076805,1.1138729,,0.687,0.019847512,1.0041114,,0.68225,0.014206767,1.2332884,,0.68035,0.011242747,1.082808,,0.73185,0.036613166,1.0354471,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/18,18,
192,gaussian_mixture,2800101192,NRE-B,100,100,100,,False,128,3,13.802015,22.528316243489584,0.7731,0.17122597,1.4807827,,0.7473,0.0939374,1.2527101,,0.73395,0.075110555,1.3711872,,0.73665,0.077946246,1.4815714,,0.74305,0.08727729,1.3554559,,0.7357,0.076316655,1.4750483,,0.73875,0.092045665,1.3807702,,0.7414,0.08335477,1.2962574,,0.7326,0.081413984,1.3531173,,0.76365,0.13349038,1.1844966,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/21,21,
193,gaussian_mixture,730202256,NRE-B,10,10,10,,False,128,3,3.5118093,4.424886067708333,0.71235,0.025030553,0.9302471,,0.70395,0.029152751,1.1766052,,0.66475,0.0060025454,0.9801612,,0.6757,0.0048002005,1.1215428,,0.7219,0.04300821,0.8890034,,0.66925,0.006332636,1.1566637,,0.67955,0.010435462,1.1409056,,0.6811,0.0076106787,0.86677706,,0.66115,0.009531617,1.0308578,,0.7406,0.06543517,0.889964,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/17,17,
194,two_moons,934950631,NRE-B,75,75,75,,False,128,3,38.236313,17.820916748046876,0.55335,0.0097750425,0.091043755,,0.56105,0.008645058,0.089186236,,0.58775,0.0055441856,0.08991085,,0.5211,0.004467964,0.09119634,,0.58465,0.0138973,0.091580525,,0.5349,0.0020515919,0.091832,,0.59885,0.0014411211,0.0920956,,0.58375,0.00029230118,0.09063297,,0.5409,0.0071052313,0.09143767,,0.61125,0.01335907,0.09045736,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/4,4,
195,two_moons,179225077,NRE-B,2,2,2,,False,128,3,-33.32614,4.167640940348307,0.57845,0.0052006245,0.089427084,,0.6118,0.011189103,0.089761265,,0.60755,0.0070790052,0.090404734,,0.6333,0.0023865104,0.09343374,,0.6524,0.01601708,0.09767298,,0.616,0.0004645586,0.09388931,,0.66185,0.0021389723,0.09773995,,0.642,0.0016314983,0.09722094,,0.62065,0.0127699375,0.08900458,,0.64315,0.0026592016,0.08740606,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/0,0,
196,gaussian_mixture,593978813,NRE-B,200,200,200,,False,128,3,27.206984,44.85784912109375,0.7089,0.013778925,0.6586105,,0.70705,0.02308011,0.5285332,,0.6459,0.02986753,0.8129872,,0.64855,0.02510631,1.0896845,,0.7053,0.02056539,0.9606798,,0.63935,0.037081838,0.42814982,,0.6635,0.031493783,0.49446106,,0.6454,0.01630485,0.44604766,,0.6433,0.030191064,0.33369592,,0.75265,0.05425024,0.76704794,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/23,23,
197,slcp,867633706,NRE-B,100,100,100,,False,128,3,34.061516,34.72421468098958,0.74535,0.008077383,19.269615,,0.68875,0.009430528,21.683743,,0.58285,0.008173704,26.885757,,0.89335,0.026978374,3.3457937,,0.5817,0.0037630796,24.256495,,0.6068,0.00081288815,10.803742,,0.89255,0.011808276,29.03405,,0.7727,0.0021567345,24.685652,,0.62695,0.007626176,9.513021,,0.6179,0.0039634705,2.2315898,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/13,13,
198,gaussian_mixture,3137890952,NRE-B,2,2,2,,False,128,3,-21.622478,3.8723826090494793,0.7562,0.06479168,1.0736823,,0.7441,0.017409682,0.9862696,,0.7192,0.023333073,0.91405535,,0.72655,0.01992917,0.97551537,,0.7448,0.01733768,0.8701838,,0.72215,0.022760868,0.9385884,,0.7351,0.0224967,1.2589105,,0.7242,0.011854529,1.0848372,,0.719,0.023297071,1.1242468,,0.77265,0.10098374,1.1717999,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/16,16,
199,slcp,910248977,NRE-B,50,50,50,,False,128,3,23.176096,28.664862060546874,0.74055,0.0041127205,19.337234,,0.64135,0.010698199,22.313065,,0.6193,0.0020136833,26.582739,,0.90195,0.03374648,3.330472,,0.5754,0.003780961,24.078653,,0.64125,0.0063072443,11.244295,,0.91365,0.026864529,29.80579,,0.83795,0.012293696,24.367098,,0.671,0.002323866,9.660746,,0.78445,0.064629674,1.7932174,,,20504576.0,/home/ben/sci/cnre/infinite/joint/20-18-57/11,11,
