,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
57,two_moons,1101713156,CNRE,49,49,50,1.0,0,False,128,3,8.856394,29.290220133463542,0.5177,0.0011689663,0.08777417,,0.526,0.0015786886,0.08856673,,0.593,0.00016748905,0.08924903,,0.51095,0.0016851425,0.0878844,,0.6166,0.0011975765,0.093017444,,0.5873,-1.5497208e-05,0.08710792,,0.6227,0.00060641766,0.08972019,,0.6195,0.0017738342,0.08910431,,0.5277,0.00050747395,0.087000504,,0.64925,0.008296251,0.08831294,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/20,20
58,two_moons,1137120377,CNRE,9,9,10,10.0,0,False,128,3,6.925395,12.83711649576823,0.64855,0.00060892105,0.09034511,,0.6489,0.0028431416,0.09178656,,0.66385,0.0024491549,0.09229107,,0.61335,0.0015406609,0.09082888,,0.6685,0.00021994114,0.09648903,,0.6485,0.00033915043,0.090487525,,0.63865,0.0002912283,0.08910622,,0.64475,0.0011787415,0.090292275,,0.6552,0.0055198073,0.08938579,,0.67675,0.0032912493,0.09117533,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/7,7
59,gaussian_mixture,1936031477,CNRE,199,199,200,1.0,0,False,128,3,9.169299,92.16484375,0.7666,0.143408,1.3578471,,0.7433,0.07575953,1.2622272,,0.7355,0.079720855,1.1875354,,0.73665,0.077430785,1.4072526,,0.7496,0.114509165,1.2418599,,0.7338,0.074881434,1.2697952,,0.74005,0.086028755,1.4657174,,0.7404,0.080485225,1.3353449,,0.7299,0.06375396,1.2608918,,0.7652,0.119057536,0.976553,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/140,140
60,gaussian_mixture,1485869582,CNRE,149,149,150,0.001,0,False,128,3,8.487552,71.21763509114584,0.776,0.18301266,1.3873866,,0.7517,0.09658241,1.4134297,,0.7394,0.0914762,1.4200895,,0.7392,0.081373036,1.3838216,,0.7468,0.09868884,1.3180925,,0.7361,0.08362448,1.4541618,,0.742,0.096114814,1.2927647,,0.74655,0.09652436,1.3409125,,0.73725,0.08738309,1.4048393,,0.7689,0.13603061,1.1998775,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/137,137
61,gaussian_mixture,3938959697,CNRE,74,74,75,0.01,0,False,128,3,7.496803,39.5360107421875,0.7747,0.17799091,1.3051265,,0.75155,0.10905999,1.3199517,,0.7415,0.10698104,1.3773594,,0.73805,0.089107394,1.4449768,,0.7509,0.12666267,1.3755286,,0.73665,0.087810755,1.4638076,,0.7446,0.114272535,1.3870504,,0.74805,0.109916806,1.4875749,,0.73425,0.09181112,1.3785446,,0.76825,0.14774865,1.1649477,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/124,124
62,slcp,1270299671,CNRE,199,199,200,100.0,0,False,128,3,13.310644,101.9904296875,0.9202,0.05593729,20.115273,,0.85365,0.033606768,22.93585,,0.83055,0.108720064,27.28508,,0.9292,0.038797736,3.040544,,0.81465,0.10315442,24.58741,,0.8278,0.044545174,9.709528,,0.95635,0.056520343,29.814896,,0.9245,0.028226018,24.136965,,0.837,0.079338074,9.047247,,0.9282,0.16752106,2.0177763,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/90,90
63,gaussian_mixture,274405574,CNRE,24,24,25,1.0,0,False,128,3,6.072711,19.049867757161458,0.78185,0.22741169,1.4392655,,0.75155,0.106965005,1.2920455,,0.73855,0.091489255,1.3780046,,0.7401,0.092630446,1.4650756,,0.7492,0.1047768,1.3395634,,0.7371,0.095651865,1.3398969,,0.74255,0.10571343,1.3250718,,0.746,0.11769605,1.3836446,,0.7355,0.08621949,1.4116426,,0.7657,0.12209213,1.1482451,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/110,110
64,slcp,715403208,CNRE,1,1,2,0.01,0,False,128,3,4.934374,14.259450276692709,0.8345,0.016316772,19.00254,,0.8481,0.044330597,23.48926,,0.69535,0.009237409,25.899555,,0.91795,0.20628732,3.2462068,,0.71305,0.018512845,24.042107,,0.72905,0.0016323328,10.717953,,0.92085,0.0063192844,29.377037,,0.88735,0.0030303001,24.33486,,0.71205,0.0072226524,9.654605,,0.875,0.06564033,1.8424237,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/52,52
65,gaussian_mixture,3789478423,CNRE,1,1,2,0.01,0,False,128,3,7.361899,12.797233072916667,0.7482,0.05849147,0.3958454,,0.7334,0.056931376,0.4768272,,0.75415,0.07638168,0.3452407,,0.77835,0.08289921,0.48263496,,0.71965,0.043943405,0.29320455,,0.733,0.079648376,0.39883327,,0.7278,0.07141745,0.82667804,,0.7808,0.08715248,0.36019605,,0.72625,0.07597482,0.3251264,,0.78025,0.059065342,0.77357936,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/100,100
66,slcp,3981725759,CNRE,9,9,10,0.1,0,False,128,3,6.491831,15.09517110188802,0.88995,0.006592989,19.419855,,0.839,0.030714393,23.26268,,0.80365,0.012632489,25.675014,,0.917,0.090755105,3.2867084,,0.75905,0.016903043,23.065355,,0.78255,0.018963933,11.6962185,,0.93195,0.023355603,29.614017,,0.9217,0.033640027,24.512486,,0.8124,0.027007937,10.837406,,0.81735,0.01848936,2.1683774,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/57,57
