,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
75,gaussian_linear,2279202840,CNRE,99,99,100,1.0,0,False,128,3,9.070987,356.3411458333333,0.5368,0.0059833527,1.4546677,,0.5331,0.0050576925,1.3530979,,0.53285,0.006338477,1.3543959,,0.5397,0.0073889494,1.5607518,,0.5214,0.0031799078,1.2871249,,0.5232,0.004094124,1.2995036,,0.53665,0.007999778,1.3140136,,0.51415,0.0023559332,1.5216405,,0.529,0.005367279,1.3425441,,0.5265,0.00561738,1.4838047,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/17,17
76,slcp,1391090769,CNRE,99,99,100,1.0,0,False,128,3,9.89511,120.88438313802084,0.94715,0.017150998,19.573488,,0.93435,0.1083554,23.401379,,0.9079,0.04959011,27.652824,,0.94795,0.046941996,3.4061809,,0.87495,0.06631827,24.514488,,0.90775,0.063235044,11.004463,,0.963,0.1964134,28.659887,,0.95275,0.054106355,26.221272,,0.91035,0.079446554,9.080122,,0.9197,0.08722353,1.9623684,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/4,4
77,bernoulli_glm,1717660570,CNRE,99,99,100,1.0,0,False,128,3,14.050676,200.25535481770834,0.8665,0.18178141,15.858715,,0.875,0.23406577,13.685047,,0.9318,0.34202188,15.885455,,0.84725,0.13397014,14.010607,,0.8954,0.1863578,21.250004,,0.8751,0.33293653,14.514212,,0.8519,0.19877142,15.536473,,0.87005,0.27059805,13.865361,,0.82805,0.16151547,14.102949,,0.88055,0.18152076,19.788063,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/0,0
78,bernoulli_glm_raw,1810123717,CNRE,99,99,100,1.0,0,False,128,3,14.163596,368.19140625,0.60025,0.009351373,3.6055512,,0.5742,0.0066082478,4.472136,,0.5973,0.018853188,3.7416575,,0.65835,0.11834562,3.6055512,,0.65765,0.039076686,5.477226,,0.6261,0.01595378,5.0,,0.7256,0.09944534,4.582576,,0.58025,0.008083105,3.7416575,,0.63235,0.07358813,3.4641016,,0.6692,0.03673494,5.3851647,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/23,23
79,two_moons,3660503277,CNRE,99,99,100,1.0,0,False,128,3,8.663283,56.26129964192708,0.5296,0.00081038475,0.09027929,,0.566,0.0073001385,0.089040875,,0.5979,0.0004515648,0.08799356,,0.5747,0.010618389,0.09054996,,0.63135,0.0021765232,0.096614376,,0.59455,0.0004787445,0.088961944,,0.67425,0.0014225245,0.090780795,,0.64885,0.0014492273,0.09205943,,0.55795,0.018057764,0.08979185,,0.6228,0.0047564507,0.091866165,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/13,13
80,gaussian_linear,2345144698,CNRE,99,99,100,1.0,0,False,128,3,9.076788,212.40891927083334,0.57375,0.014936328,1.5372679,,0.573,0.016335368,1.4806125,,0.55045,0.0061377287,1.4546092,,0.6322,0.03272569,1.7157731,,0.5252,0.0017758608,1.3149383,,0.55055,0.008599877,1.3909389,,0.56595,0.01240015,1.4306152,,0.6126,0.025497675,1.6721746,,0.55165,0.008379579,1.4645817,,0.6094,0.028469682,1.6196133,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/16,16
81,gaussian_linear_uniform,3298978566,CNRE,99,99,100,1.0,0,False,128,3,13.326221,367.15390625,0.574,0.009267449,1.3882244,,0.57885,0.00916636,1.4485216,,0.57465,0.010321736,1.4903067,,0.543,0.0042710304,1.3549833,,0.54935,0.0036933422,1.3053946,,0.54485,0.005735159,1.2885232,,0.56975,0.0071445704,1.3416852,,0.56895,0.0076317787,1.3193992,,0.5448,0.0023642778,1.3179077,,0.5601,0.0044977665,1.3753319,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/11,11
82,slcp,474805209,CNRE,99,99,100,1.0,0,False,128,3,10.534936,111.0075927734375,0.98455,0.09115064,19.403755,,0.97455,0.102938294,20.482021,,0.95875,0.10190272,24.276846,,0.98765,0.13924426,4.051139,,0.9551,0.08069503,20.233854,,0.96055,0.061511397,9.143244,,0.99025,0.1330198,27.655449,,0.98805,0.13430059,22.413307,,0.9586,0.059043407,10.555368,,0.94195,0.13444209,3.6980605,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/3,3
83,gaussian_mixture,438501039,CNRE,99,99,100,1.0,0,False,128,3,12.03433,203.680029296875,0.6856,0.06196761,0.9910197,,0.71175,0.07202721,0.9824693,,0.7185,0.077246785,0.3027444,,0.73285,0.071362376,0.4114496,,0.70755,0.07321763,0.24841091,,0.7266,0.073622346,0.60481673,,0.7291,0.0773896,0.5962505,,0.72945,0.07438314,0.3921076,,0.7223,0.07631922,0.613973,,0.7122,0.07787812,0.2852823,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/8,8
84,two_moons,2610055386,CNRE,99,99,100,1.0,0,False,128,3,10.423307,42.725301106770836,0.72135,0.030916333,0.078476295,,0.7175,0.059509993,0.08310634,,0.75245,0.008587837,0.083239004,,0.8329,0.39222807,0.08339531,,0.71485,0.05080557,0.0844633,,0.8323,0.2171191,0.08778913,,0.73565,0.0781585,0.088520244,,0.7711,0.19181502,0.08630073,,0.7071,0.07599443,0.08165127,,0.74445,0.101305366,0.08008358,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-08-48/12,12
